name_et,body,max_grant,support_rate,mode,turnover_threshold,status,opens,closes,source_url,checked_on,notes,instrument
Tehisaru kasutuselevõtmise toetus,EIS,20000,unknown,jooksev,200000,closed,unknown,2026-08-24 16:00,https://eis.ee/teenused/tehisaru-toetus/,2026-09-22,,toetus
Digitaliseerimise teekaardi toetus,EIS,10000,70,jooksev,200000,closed,unknown,2026-07-24 09:00,https://eis.ee/teenused/digitaliseerimise-teekaardi-toetus/,2026-09-22,,toetus
Digitaliseerimise teekaardi nõustamis- ja arendustegevuste toetus,EIS,35000,70,jooksev,200000,open,unknown,unknown,https://eis.ee/teenused/digitaliseerimise-teekaardi-arendustegevused-toetus/,2026-09-22,,toetus
Ettevõtete digipöörde toetus,EIS,400000,70,unknown,200000,closed,2022-08-31,2025-05-19 16:00,https://eis.ee/teenused/digipoorde-toetus/,2026-09-22,,toetus
RTE - äriprotsesside automatiseerimise ja andmevahetuse toetus,EIS,150000,50,jooksev,50000,closed,unknown,2026-09-04 16:00,https://eis.ee/teenused/rte_automatiseerimise_toetus/,2026-09-22,,toetus
RTE - tarkvara kasutusele võtmise või liidestamise toetus,EIS,5000,unknown,jooksev,50000,open,unknown,unknown,https://eis.ee/teenused/rte_tarkvara_toetus/,2026-09-22,,toetus
RTE - andmemajanduse kasutusjuhu väljatöötamise ja rakendamise toetus,EIS,150000,50,jooksev,unknown,open,unknown,unknown,https://eis.ee/teenused/rte-andmemajanduse-toetus/,2026-09-22,,toetus
RTE - andmepõhise aruandluse ja andmevahetuse tarkvara arenduse toetus,EIS,150000,50,jooksev,unknown,open,unknown,unknown,https://eis.ee/teenused/rte_andmepohise_aruandluse_toetus/,2026-09-22,,toetus
Küberturbe taseme tõstmise toetus (NIS2),EIS,120000,100,jooksev,unknown,open,2026-09-01,unknown,https://eis.ee/teenused/kuberturbe-tostmine-nis2/,2026-09-22,,toetus
Küberturvalisuse innovatsiooni ja arendustegevuse toetus,EIS,100000,70,jooksev,unknown,open,2026-01-12 09:00,2026-12-15 16:00,https://eis.ee/teenused/kyber-inno-toetus/,2026-09-22,,toetus
E-veoselehe liidestamise toetus,EIS,15000,90,voor,unknown,closed,2024-09-30 09:00,2025-09-30 16:00,https://eis.ee/teenused/e-veoselehe-liidestamise-toetus/,2026-09-22,,toetus
Turismisektori tarkvarade liitumis- ja liidestamistoetus,EIS,20000,unknown,jooksev,30000,open,2025-01-07,unknown,https://eis.ee/teenused/turismi-tarkvara-toetus/,2026-09-22,,toetus
