measure_name_et,body,year,opened,closed,days_open,budget_eur,oversubscribed,source_url,notes
"Tehisaru kasutuselevõtmise toetus",EIS,2026,2026-08-24 09:00,2026-08-24 16:00,0,2000000,yes,https://www.err.ee/1610133118/tehisaru-kasutuselevotu-toetus-osutus-ootamatult-populaarseks,"Closed same day after 7 hours. EUR 20000 per project. EUR 1.1M allocated for 2026 of EUR 2M total; requests exceeded it by more than 2x. EIS asked the ministry to raise the 2026 allocation. Application count never disclosed. Confirmed by ERR and by the EIS measure page."
"Digitaliseerimise teekaardi toetus",EIS,2026,unknown,2026-07-24 09:00,unknown,2500000,yes,https://eis.ee/teenused/digitaliseerimise-teekaardi-toetus/,"EIS verbatim: Taotluste vastuvõtmine on suletud alates 24.07.2026. a kell 09:00. Budget EUR 2500000 täitunud. 336 applications; 308 decided for EUR 2315948.97; 28 pending worth EUR 199372.50. Opening date disputed - see report."
"Ettevõtete digipöörde toetus",EAS/EIS,2022-2025,2022-08-31,2025-05-19 16:00,992,56528151,yes,https://eis.ee/teenused/digipoorde-toetus/,"Announced as EUR 58M at opening; EIS page now states EUR 56528151. At 16:01 on 19.05.2025 there were 68 applications worth about EUR 15.3M with no budget left. Max grant stated as 300000 in 2022 and 400000 on the current EIS page; the 150000 figure in our seed data is not supported by any funder source."
"E-veoselehe liidestamise toetus",EIS,2024-2025,2024-09-30 09:00,2025-09-30 16:00,365,4700000,yes,https://eis.ee/teenused/e-veoselehe-liidestamise-toetus/,"EIS verbatim: Taotlusvooru eelarve on ületatud 1,17 MEUR võrra. Max grant EUR 15000 at 90 percent. Applications processed in order of arrival; those without budget cover were not processed."
"Starditoetus",EIS,2026,2026-03-11 09:00,2026-08-14 09:00,156,5025000,yes,https://eis.ee/teenused/starditoetus/,"Budget declared full on 11.08.2026; intake closed 14.08.2026 09:00. 262 applications; 155 decided for about EUR 3.1M; 107 pending seeking about EUR 2.14M. EIS EN page states budget 5021428 vs 5025000 in the Estonian announcement."
"Ida-Viru väike- ja keskmise suurusega ettevõtjate investeeringute toetus",EIS,2025,2025-12-01,2025-12-04 16:00,3,17000000,yes,https://eis.ee/teenused/ida-viru-vke-toetus/,"Closed 3 days after reopening. Just Transition Fund. Grants EUR 30000-3000000. Postimees (11.06.2026) reports the round filled in under an hour - conflicts on face value with the formal 04.12.2025 16:00 suspension."
"Ida-Viru ettevõtluse investeeringute toetus",EIS,2025,2025-12-01,2025-12-04 16:00,3,13000000,yes,https://eis.ee/teenused/ida-viru-ettevotluse-investeeringute-toetus/,"Closed 3 days after reopening. Just Transition Fund. Grants EUR 500000-13000000 with at least 20 percent self-financing. An earlier 29.07.2024 closure is indexed but could not be confirmed (eas.ee returned HTTP 526)."
"RTE - äriprotsesside automatiseerimise ja andmevahetuse toetus",EIS,2026,2026-03-30,2026-09-04 16:00,158,1500000,yes,https://eis.ee/teenused/rte_automatiseerimise_toetus/,"EIS verbatim: Sulgesime taotluste vastuvõtmise 04.09.2026 kell 16:00. Standing rule quoted from the määrus: intake is suspended the moment pending requests equal or exceed the free budget balance. Opening date and budget from the RTK forecast sheet."
"Ettevõtete ressursitõhusus (Ühtekuuluvusfondi voor)",KIK,2024-2025,2024-04-30 10:00,2025-08-28 15:30,485,15000000,yes,https://kik.ee/et/toetavad-tegevused/ettevotete-ressursitohusus,"KIK: vooru eelarve on seisuga 27.08.2025 taotlustega kaetud; kuna vooru eelarve on ammendunud, siis taotlusi rohkem menetlusse ei võeta. Budget was raised by EUR 5M on 16.12.2024."
"Ressursi- ja energiatõhusus ning ohutu materjaliringlus ettevõtetele",KIK,2025-2026,2025-10-27 10:00,2026-04-20,175,unknown,yes,https://kik.ee/et/toetatavad-tegevused/ressursi-ja-energiatohusus-ning-ohutu-materjaliringlus-ettevotetele,"Applications exceeded the budget within about 14 days of opening (by 10.11.2025); the budget was then increased and the round continued. KIK: Sulgesime vooru 20.04.2026 eelarveliste vahendite ammendumise tõttu. Grants EUR 5000-2000000."
"Ettevõtja teadus- ja arendustöötaja toetus (2025. a voor)",EIS,2025,2025-02-17 09:00,2025-03-18 16:00,29,3000000,no,https://eis.ee/teenused/teadus-ja-arendustootaja-toetus/,"Fixed-window round that ran its full term and was UNDER-subscribed: 200+ companies received about EUR 2.2M of the EUR 3M. Counter-example to the rolling-measure pattern."
"Ettevõtja teadus- ja arendustöötaja toetus (5. voor)",EIS,2026,2026-08-11 09:00,2026-09-07 16:00,27,2500000,unknown,https://eis.ee/teenused/teadus-ja-arendustootaja-toetus/,"Fixed-window round, now closed. Next round planned for February 2027. No oversubscription statement published."
"Väikese ja keskmise suurusega ettevõtja arenguprogramm",EIS,2026,unknown,2026-06-30 16:00,unknown,4991802,unknown,https://eis.ee/teenused/vke-arenguprogramm/,"EIS verbatim: Toetuse taotlemine on suletud alates 30.06.2026.a kell 16.00. Budget from the RTK forecast sheet. No public statement on whether the budget was exhausted."
"Loomeettevõtjatele tugiteenuste pakkumise toetus",EIS,2026,2026-03-16,2026-04-20 16:00,35,1009510,unknown,https://www.rtk.ee/toetused-taotlemine/taotlusvoorud/taotlusvoorude-prognoos,"Classified by RTK as Tähtajaline taotlemine (fixed deadline). One of only two measures in the whole RTK forecast sheet explicitly classified as deadline-based."
"Erialaliitude rahvusvahelistumise edendamise toetus",EIS,2025,2025-07-09 09:00,2025-09-29 16:00,82,unknown,unknown,https://eis.ee/teenused/erialaliitude-rahvusvahelistumine/,"Fixed round with stated open and close times. Budget not published on the measure page."
"Ida-Viru ettevõtjate teadmusmahukate tegevuste toetus",EIS,2024,unknown,2024-10-15 16:00,unknown,unknown,unknown,https://eis.ee/teenused/ida-viru-teadmusmahukate-tegevuste-toetus/,"Main round deadline 15.10.2024 16:00. Page simultaneously states that R&D-only and pilot-infrastructure projects were open jooksvalt - a hybrid measure."
"Rohetoetus: tootmisettevõtja ärimudeli muutmise toetus",EAS/EIS,2022-2025,2022-11-21,unknown,unknown,8706543,unknown,https://eis.ee/teenused/rohetoetus/,"Opened 21.11.2022 per EIS press release. EIS page now states only that the application process has closed; no closing date published. Green audit up to EUR 10000, development up to EUR 200000."
"Maapiirkonna ettevõtjate konkurentsivõime suurendamise investeeringutoetus 2026",PRIA,2026,unknown,2026-06-12,unknown,unknown,yes,https://www.pria.ee/toetused/maapiirkonna-ettevotjate-konkurentsivoime-suurendamise-investeeringutoetus-2026,"PRIA verbatim: PRIA peatas taotluste vastuvõtmise 12. juunil 2026, kuna rahuldatud ja ka menetluses olevate taotluste kogusumma ületas meetme eelarve. Uusi taotlusi ei ole võimalik enam esitada."
"Avalike biometaani sisestuspunktide toetuse taotlusvoor",KIK,2026,2026-01-28,2026-04-28 17:00,90,2000000,unknown,https://www.rtk.ee/toetused-taotlemine/taotlusvoorud/taotlusvoorude-prognoos,"Fixed round with stated close time. Budget from the RTK forecast sheet."
"Väikesaarte programm",RTK,2026,2026-02-09,2026-04-09 16:00,59,unknown,unknown,https://www.rtk.ee/toetused-taotlemine/taotlusvoorud/taotlusvoorude-prognoos,"Fixed round (Avatud taotlusvoor) with stated close time. Budget cell empty in the forecast sheet."
"Toiduainetööstuse investeeringutoetus 2026",PRIA,2026,2026-09-16,2026-09-30,14,unknown,unknown,https://www.pria.ee/toetused/toiduainetoostuse-investeeringutoetus-2026,"Currently open two-week fixed window. Max grant EUR 3500000 over the strategy-plan period; minimum applicant turnover EUR 1000000."
"Küberturbe taseme tõstmise toetus (NIS2)",EIS,2026,2026-09-01,unknown,unknown,2640000,no,https://eis.ee/teenused/kuberturbe-tostmine-nis2/,"Still open as at 22.09.2026. Two rolling sub-rounds kuni eelarve mahu täitumiseni. Opening date 01.09.2026 per RUP and the ministry; a KPMG (CONSULTANCY) note claims 31.08.2026."
"Küberturvalisuse innovatsiooni ja arendustegevuse toetus",EIS,2026,2026-01-12 09:00,2026-12-15 16:00,unknown,1500000,no,https://eis.ee/teenused/kyber-inno-toetus/,"Planned window 12.01.2026 to 15.12.2026; still open as at 22.09.2026, so days_open is not yet determined. Rolling within the window (Toetuse taotlemine on jooksev)."
